LEAID,STNAME,FIPST,LEANM,PCTPROF_MTH_clean,PCTPROF_RLA_clean,NUMVALID_MTH_clean,NUMVALID_RLA_clean,SCHLEV,MEMBERSCH,TOTALEXP,TOTALREV,TFEDREV,TSTREV,TLOCREV,TCURINST,TCURSSVC,TCAPOUT,per_pupil_exp,poverty_rate,Estimated Population 5-17,cluster,log_enrollment,silhouette
3414730,NEW JERSEY,34,Sea Girt Borough School District,82.0,92.0,99,99,01,125,5177000,5642000,57000,641000,4944000,2312000,1687000,88000,41416.0,2.419354838709677,248,0,4.836281906951478,0.3411036385049841
3414790,NEW JERSEY,34,Seaside Heights School District,22.0,22.0,91,91,01,219,4832000,4776000,152000,1661000,2963000,2596000,1952000,40000,22063.92694063927,36.84210526315789,209,1,5.393627546352362,0.4313479867612783
3414850,NEW JERSEY,34,Secaucus School District,46.0,63.0,1287,1283,03,2267,45295000,47431000,1443000,8056000,37932000,25720000,15788000,338000,19980.14997794442,8.301240907145914,2337,0,7.7266536648476425,0.3729915350242312
3414880,NEW JERSEY,34,Shamong Township School District,51.0,58.0,497,497,01,742,15905000,16698000,324000,6397000,9977000,8727000,6117000,271000,21435.309973045823,5.854241338112306,837,0,6.610696044717759,0.39168319615395536
3414940,NEW JERSEY,34,SHORE REGIONAL HIGH SCHOOL DISTRICT,32.0,67.0,320,331,02,649,20275000,20744000,279000,3187000,17278000,9591000,7510000,103000,31240.369799691834,7.532751091703056,916,0,6.476972362889683,0.19653013634850086
3414970,NEW JERSEY,34,SHREWSBURY BOROUGH SCHOOL DISTRICT,78.0,74.0,325,325,01,479,10033000,10338000,158000,1674000,8506000,6139000,3476000,66000,20945.72025052192,2.586206896551724,464,0,6.173786103901937,0.49281709475399027
3415030,NEW JERSEY,34,Somers Point School District,30.0,40.0,536,537,01,882,22168000,21728000,1368000,9296000,11064000,11486000,7040000,1584000,25133.786848072563,19.073275862068968,928,1,6.78332520060396,0.3478930410153901
3415090,NEW JERSEY,34,Somerville Public School District,32.0,53.0,1250,1281,03,2368,48720000,52287000,1593000,14862000,35832000,28365000,15990000,1162000,20574.324324324323,9.363057324840764,1570,0,7.7702232041587855,-0.010613782923784794
3415120,NEW JERSEY,34,South Amboy School District,33.0,43.0,652,650,03,1078,22568000,21611000,1103000,10087000,10421000,11643000,6152000,1241000,20935.064935064936,12.983870967741936,1240,1,6.983789965258135,0.2557195301995319
3415180,NEW JERSEY,34,South Bound Brook Public Schools,46.0,52.0,271,263,01,423,11948000,11926000,415000,4831000,6680000,5001000,3523000,1175000,28245.86288416076,7.573149741824441,581,0,6.049733455231958,0.22800973270908415
3415210,NEW JERSEY,34,South Brunswick School District,64.0,74.0,5195,5403,03,8541,178603000,174032000,3560000,48259000,122213000,89292000,59137000,14117000,20911.251609881747,4.24508126603935,9352,0,9.052750451401412,0.49878012582153297
3415240,NEW JERSEY,34,South Hackensack School District,52.0,77.0,190,183,01,281,9299000,9768000,192000,1141000,8435000,3545000,2417000,23000,33092.52669039146,15.168539325842698,356,0,5.641907070938114,0.3143373474184711
3415270,NEW JERSEY,34,South Harrison Township School District,57.0,57.0,198,197,01,357,6574000,6952000,202000,2582000,4168000,3574000,2133000,186000,18414.56582633053,5.58659217877095,358,0,5.8805329864007,0.42976562352280057
3415330,NEW JERSEY,34,South Orange-Maplewood School District,56.0,68.0,4033,4130,03,7115,146369000,153532000,3354000,25495000,124683000,80260000,45822000,741000,20571.890372452566,5.275354416575791,7336,0,8.870101048785726,0.4784171033809492
3415360,NEW JERSEY,34,South Plainfield School District,48.0,64.0,2010,1990,03,3358,85208000,75059000,1799000,19791000,53469000,40059000,24220000,13766000,25374.62775461584,6.237424547283702,3976,0,8.119398589612294,0.38663964696016523
3415390,NEW JERSEY,34,South River Public School District,32.0,40.0,1400,1368,03,2209,38967000,41103000,2390000,20225000,18488000,21677000,12890000,118000,17640.108646446355,14.670308232539991,2563,1,7.700747794511798,0.3764223245214003
3415420,NEW JERSEY,34,Southampton Township School District,53.0,63.0,475,478,01,718,16380000,17338000,388000,4245000,12705000,8510000,5563000,457000,22813.370473537605,6.630581867388363,739,0,6.577861357721047,0.4378721518951665
3415450,NEW JERSEY,34,DELSEA REGIONAL HIGH SCHOOL DISTRICT,36.0,67.0,1060,1043,02,1610,40588000,40201000,1182000,18633000,20386000,17698000,16644000,1165000,25209.93788819876,6.016713091922005,1795,0,7.384610383176974,0.27382317650191956
3415480,NEW JERSEY,34,Southern Regional School District,39.0,54.0,1840,1893,02,2886,66781000,68531000,1273000,10797000,56461000,36074000,23985000,4855000,23139.63963963964,13.057103064066853,2872,0,7.967973179662935,0.06262303179632096
3415510,NEW JERSEY,34,SPARTA TOWNSHIP PUBLIC SCHOOL DISTRICT,63.0,72.0,1846,1889,03,3174,77975000,81253000,1257000,17312000,62684000,41432000,27416000,2040000,24566.79269061121,2.508455467869222,3548,0,8.063062911326792,0.4862109040889852
3415540,NEW JERSEY,34,Spotswood Public School District,51.0,63.0,975,976,03,1678,32472000,34296000,696000,11533000,22067000,17510000,10879000,1632000,19351.60905840286,7.028753993610224,1565,0,7.425953657077541,0.43446596836043566
3415570,NEW JERSEY,34,Spring Lake Borough,77.0,82.0,117,116,01,176,8469000,8560000,244000,1446000,6870000,3510000,2549000,74000,48119.31818181818,9.545454545454549,440,0,5.176149732573829,0.2816506245575973
3415600,NEW JERSEY,34,Spring Lake Heights School District,66.0,81.0,217,216,01,327,13664000,11042000,184000,1325000,9533000,3900000,2390000,4115000,41785.93272171254,6.690777576853527,553,0,5.793013608384144,0.3286174734035433
3415630,NEW JERSEY,34,Springfield Public School District,52.0,68.0,1271,1343,03,2233,49439000,50598000,872000,7783000,41943000,23966000,14867000,3899000,22140.17017465293,3.658536585365853,2378,0,7.711548979629146,0.4531430070412424
3415660,NEW JERSEY,34,Springfield Township School District,72.0,67.0,109,109,01,225,5457000,5715000,170000,1860000,3685000,2904000,2099000,13000,24253.33333333333,8.843537414965986,294,0,5.420534999272286,0.4848359746981212
3415690,NEW JERSEY,34,Stafford Township School District,55.0,63.0,1196,1195,01,2200,46576000,50419000,2463000,15681000,32275000,24560000,18950000,417000,21170.90909090909,10.924040720438528,2554,0,7.696667081526462,0.43754144825857366
3415720,NEW JERSEY,34,Stanhope School District,62.0,62.0,175,172,01,310,7146000,7290000,158000,2373000,4759000,3914000,2727000,132000,23051.612903225807,5.431309904153355,313,0,5.739792912179234,0.47359715365652855
3415750,NEW JERSEY,34,Stillwater Township School District,62.0,77.0,152,152,01,262,7504000,7366000,188000,2723000,4455000,4179000,2553000,592000,28641.221374045803,7.796610169491526,295,0,5.572154032177765,0.44916916454126427
3415810,NEW JERSEY,34,Stone Harbor School District,90.0,90.0,27,27,01,99,3848000,3674000,17000,373000,3284000,1686000,1046000,478000,38868.68686868687,4.6875,64,0,4.605170185988092,0.35405441891471784
3415840,NEW JERSEY,34,STOW CREEK TOWNSHIP SCHOOL DISTRICT,52.0,62.0,80,80,01,114,2637000,2620000,130000,1226000,1264000,1481000,932000,60000,23131.57894736842,12.05673758865248,141,0,4.74493212836325,0.3756998420609561
3415870,NEW JERSEY,34,Stratford School District,49.0,64.0,570,568,01,854,16804000,17619000,639000,7248000,9732000,9015000,5922000,105000,19676.8149882904,10.040160642570282,747,0,6.75110146893676,0.3984628414888679
3415900,NEW JERSEY,34,Summit Public School District,76.0,85.0,2385,2455,03,3940,84737000,89610000,1804000,15193000,72613000,50736000,25441000,2152000,21506.852791878173,2.979437683592111,4766,0,8.279189777195004,0.48073719680582616
3415960,NEW JERSEY,34,Sussex-Wantage Regional School District,44.0,55.0,673,671,01,1036,28728000,28177000,928000,11526000,15723000,15484000,10568000,862000,27729.72972972973,6.919155134741442,1373,0,6.9440872082295275,0.24981671791082213
3415990,NEW JERSEY,34,SWEDESBORO-WOOLWICH SCHOOL DISTRICT,55.0,57.0,940,940,01,1633,29494000,32417000,662000,11868000,19887000,16486000,9311000,139000,18061.236987140237,4.392922513727883,1639,0,7.3987862754199485,0.4184210793042784
3416020,NEW JERSEY,34,Tabernacle Township School District,39.0,47.0,447,447,01,696,16621000,16888000,325000,7526000,9037000,8488000,6447000,922000,23880.74712643678,3.841387856257745,807,0,6.546785410760524,0.11971491584503886
3416080,NEW JERSEY,34,Teaneck School District,42.0,58.0,2119,2105,03,3513,112009000,117626000,2801000,21658000,93167000,54814000,35550000,1141000,31884.144605750076,7.67816742081448,7072,0,8.164510268747042,0.22797812156759836
