LEAID,LEANM,STNAME,per_pupil_exp,poverty_rate,PCTPROF_RLA_clean,predicted_reading,residual_reading,PCTPROF_MTH_clean,predicted_math,residual_math
0100005,Albertville City,ALABAMA,9800.745209368346,30.053842388644156,38.0,35.954283604997066,2.045716395002934,46.0,32.14921136731232,13.850788632687681
0100006,Marshall County,ALABAMA,10619.603680113234,26.622181316152783,36.0,39.406511760947296,-3.4065117609472964,40.0,35.36798680311844,4.632013196881559
0100007,Hoover City,ALABAMA,14019.85378440367,7.259552942784879,65.0,58.807794150616076,6.1922058493839245,70.0,53.56041919534236,16.439580804657638
0100008,Madison City,ALABAMA,10535.075287865367,8.298157109029136,73.0,57.557630209672624,15.442369790327376,76.0,52.66843789364981,23.33156210635019
0100011,Leeds City,ALABAMA,10995.897435897436,16.887608069164266,42.0,49.07594810767335,-7.075948107673348,45.0,44.548095391144265,0.4519046088557346
0100012,Boaz City,ALABAMA,11954.264524103832,24.9570692615913,39.0,41.14106295476819,-2.141062954768188,43.0,36.906001700557255,6.093998299442745
0100013,Trussville City,ALABAMA,12555.295120392071,6.697698474269459,71.0,59.27160741515848,11.728392584841522,76.0,54.128010810021934,21.871989189978066
0100030,Alexander City,ALABAMA,10360.5220228385,37.33641262509623,38.0,28.773810072077808,9.226189927922192,43.0,25.26008199589554,17.73991800410446
0100060,Andalusia City,ALABAMA,12433.667781493868,31.19392684610076,49.0,34.99164223567187,14.008357764328132,48.0,31.0060902157391,16.9939097842609
0100090,Anniston City,ALABAMA,12436.055469953775,38.064516129032256,27.0,28.184024899757617,-1.1840248997576168,22.0,24.52003361284119,-2.520033612841189
0100100,Arab City,ALABAMA,10204.0273556231,17.51824817518248,64.0,48.400842090637155,15.599157909362845,72.0,43.972863564606136,28.027136435393864
0100120,Athens City,ALABAMA,12780.812324929972,17.82926215059179,51.0,48.25612961155047,2.7438703884495297,50.0,43.613829658806026,6.386170341193974
0100180,Attalla City,ALABAMA,10690.694626474444,26.06790799561884,42.0,39.960226781928775,2.0397732180712254,40.0,35.88942856588063,4.110571434119372
0100185,Saraland City,ALABAMA,11887.925497752089,20.17977528089888,64.0,45.87046806725918,18.129531932740818,69.0,41.41756273048358,27.58243726951642
0100188,Chickasaw City,ALABAMA,10173.310225303292,41.28902316213495,22.0,24.84546406064218,-2.845464060642179,19.0,21.533479443671865,-2.5334794436718653
0100189,Satsuma City,ALABAMA,9684.279191128506,21.62426614481409,54.0,44.299396941243714,9.700603058756286,54.0,40.10988456288153,13.890115437118467
0100190,Alabaster City,ALABAMA,12269.566623544632,11.596363094350872,52.0,54.399608078490125,-2.3996080784901253,57.0,49.51081274130635,7.489187258693647
0100194,Pelham City,ALABAMA,11733.81730187538,8.137563574715427,53.0,57.792797304059505,-4.792797304059505,50.0,52.78960357701026,-2.7896035770102614
0100195,Pike Road City,ALABAMA,9568.974771873323,6.903163950143816,53.0,58.87858403204896,-5.878584032048963,48.0,54.00987499361506,-6.009874993615057
0100210,Auburn City,ALABAMA,12337.83474479286,11.7124394184168,64.0,54.28892365853557,9.711076341464427,72.0,49.39950053566495,22.60049946433505
0100240,Autauga County,ALABAMA,9205.410160545414,19.29788753954485,55.0,46.574127608145574,8.425872391854426,54.0,42.3181994357134,11.681800564286597
0100270,Baldwin County,ALABAMA,12945.950971580873,12.897169677144078,56.0,53.15360156767414,2.846398432325863,59.0,48.26564640431227,10.734353595687729
0100360,Bibb County,ALABAMA,10451.792336217552,25.43912780133253,37.0,40.56810308006331,-3.5681030800633096,34.0,36.489077868634254,-2.4890778686342543
0100390,Birmingham City,ALABAMA,12375.20072913502,35.049511464947194,24.0,31.16760189041816,-7.167601890418162,21.0,27.36781331085465,-6.36781331085465
0100420,Blount County,ALABAMA,10870.21304404653,15.21471016930149,46.0,50.72557728677808,-4.725577286778083,45.0,46.130541257857026,-1.1305412578570255
0100450,Brewton City,ALABAMA,11209.17917034422,34.977064220183486,59.0,31.1654204068399,27.8345795931601,58.0,27.46581270471308,30.53418729528692
0100510,Butler County,ALABAMA,10228.524046434492,34.703896900889845,28.0,31.373882413688882,-3.3738824136888823,26.0,27.74858970696137,-1.7485897069613685
0100540,Calhoun County,ALABAMA,10995.320542817031,18.74865851040996,49.0,47.23187738328777,1.7681226167122333,45.0,42.79123516696946,2.2087648330305427
